Cause of death,Age group,Sex,Count
Cerebrovascular diseases,45-64,Female,134
Cerebrovascular diseases,45-64,Total,411
Cerebrovascular diseases,65 & above,Male,1339
Cerebrovascular diseases,65 & above,Female,1322
Cerebrovascular diseases,65 & above,Total,2661
Cerebrovascular diseases,Unknown,Male,0
Cerebrovascular diseases,Unknown,Female,0
Cerebrovascular diseases,Unknown,Total,0
External causes of morbidity and mortality† (ICD-10: V01-Y89),All ages,Male,1277
External causes of morbidity and mortality† (ICD-10: V01-Y89),All ages,Female,705
External causes of morbidity and mortality† (ICD-10: V01-Y89),All ages,Total,1982
External causes of morbidity and mortality† (ICD-10: V01-Y89),Under 1,Male,0
External causes of morbidity and mortality† (ICD-10: V01-Y89),Under 1,Female,4
External causes of morbidity and mortality† (ICD-10: V01-Y89),Under 1,Total,4
External causes of morbidity and mortality† (ICD-10: V01-Y89),1-4,Male,4
External causes of morbidity and mortality† (ICD-10: V01-Y89),1-4,Female,2
External causes of morbidity and mortality† (ICD-10: V01-Y89),1-4,Total,6
External causes of morbidity and mortality† (ICD-10: V01-Y89),5-14,Male,12
External causes of morbidity and mortality† (ICD-10: V01-Y89),5-14,Female,6
External causes of morbidity and mortality† (ICD-10: V01-Y89),5-14,Total,18
External causes of morbidity and mortality† (ICD-10: V01-Y89),15-44,Male,299
External causes of morbidity and mortality† (ICD-10: V01-Y89),15-44,Female,128
External causes of morbidity and mortality† (ICD-10: V01-Y89),15-44,Total,427
External causes of morbidity and mortality† (ICD-10: V01-Y89),45-64,Male,360
External causes of morbidity and mortality† (ICD-10: V01-Y89),45-64,Female,169
External causes of morbidity and mortality† (ICD-10: V01-Y89),45-64,Total,529
External causes of morbidity and mortality† (ICD-10: V01-Y89),65 & above,Male,597
External causes of morbidity and mortality† (ICD-10: V01-Y89),65 & above,Female,394
External causes of morbidity and mortality† (ICD-10: V01-Y89),65 & above,Total,991
External causes of morbidity and mortality† (ICD-10: V01-Y89),Unknown,Male,5
External causes of morbidity and mortality† (ICD-10: V01-Y89),Unknown,Female,2
External causes of morbidity and mortality† (ICD-10: V01-Y89),Unknown,Total,7
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),All ages,Male,843
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),All ages,Female,936
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),All ages,Total,1779
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Under 1,Male,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Under 1,Female,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Under 1,Total,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),1-4,Male,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),1-4,Female,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),1-4,Total,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),5-14,Male,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),5-14,Female,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),5-14,Total,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),15-44,Male,7
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),15-44,Female,5
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),15-44,Total,12
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),45-64,Male,108
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),45-64,Female,65
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),45-64,Total,173
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),65 & above,Male,728
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),65 & above,Female,866
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),65 & above,Total,1594
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Unknown,Male,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Unknown,Female,0
Nephritis, nephrotic syndrome and nephrosis (ICD-10: N00-N07, N17-N19, N25-N27),Unknown,Total,0
Dementia (ICD-10: F01-F03),All ages,Male,540
Dementia (ICD-10: F01-F03),All ages,Female,958
Dementia (ICD-10: F01-F03),All ages,Total,1498
Dementia (ICD-10: F01-F03),Under 1,Male,0
Dementia (ICD-10: F01-F03),Under 1,Female,0
Dementia (ICD-10: F01-F03),Under 1,Total,0
Dementia (ICD-10: F01-F03),1-4,Male,0
Dementia (ICD-10: F01-F03),1-4,Female,0
Dementia (ICD-10: F01-F03),1-4,Total,0
Dementia (ICD-10: F01-F03),5-14,Male,0
Dementia (ICD-10: F01-F03),5-14,Female,0
Dementia (ICD-10: F01-F03),5-14,Total,0
Dementia (ICD-10: F01-F03),15-44,Male,0
Dementia (ICD-10: F01-F03),15-44,Female,0
Dementia (ICD-10: F01-F03),15-44,Total,0
Dementia (ICD-10: F01-F03),45-64,Male,5
Dementia (ICD-10: F01-F03),45-64,Female,6
Dementia (ICD-10: F01-F03),45-64,Total,11
Dementia (ICD-10: F01-F03),65 & above,Male,535
Dementia (ICD-10: F01-F03),65 & above,Female,952
Dementia (ICD-10: F01-F03),65 & above,Total,1487
Dementia (ICD-10: F01-F03),Unknown,Male,0
Dementia (ICD-10: F01-F03),Unknown,Female,0
Dementia (ICD-10: F01-F03),Unknown,Total,0
Septicaemia (ICD-10: A40-A41),All ages,Male,616
Septicaemia (ICD-10: A40-A41),All ages,Female,630
Septicaemia (ICD-10: A40-A41),All ages,Total,1246
Septicaemia (ICD-10: A40-A41),Under 1,Male,0
Septicaemia (ICD-10: A40-A41),Under 1,Female,0
Septicaemia (ICD-10: A40-A41),Under 1,Total,0
Septicaemia (ICD-10: A40-A41),1-4,Male,0
Septicaemia (ICD-10: A40-A41),1-4,Female,1
Septicaemia (ICD-10: A40-A41),1-4,Total,1
Septicaemia (ICD-10: A40-A41),5-14,Male,0
Septicaemia (ICD-10: A40-A41),5-14,Female,1
Septicaemia (ICD-10: A40-A41),5-14,Total,1
Septicaemia (ICD-10: A40-A41),15-44,Male,10
Septicaemia (ICD-10: A40-A41),15-44,Female,11
Septicaemia (ICD-10: A40-A41),15-44,Total,21
Septicaemia (ICD-10: A40-A41),45-64,Male,97
Septicaemia (ICD-10: A40-A41),45-64,Female,31
Septicaemia (ICD-10: A40-A41),45-64,Total,128
Septicaemia (ICD-10: A40-A41),65 & above,Male,509
Septicaemia (ICD-10: A40-A41),65 & above,Female,586
Septicaemia (ICD-10: A40-A41),65 & above,Total,1095
Septicaemia (ICD-10: A40-A41),Unknown,Male,0
Septicaemia (ICD-10: A40-A41),Unknown,Female,0
Septicaemia (ICD-10: A40-A41),Unknown,Total,0
Chronic lower respiratory diseases (ICD-10: J40-J47),All ages,Male,813
Chronic lower respiratory diseases (ICD-10: J40-J47),All ages,Female,246
Chronic lower respiratory diseases (ICD-10: J40-J47),All ages,Total,1059
Chronic lower respiratory diseases (ICD-10: J40-J47),Under 1,Male,0
Chronic lower respiratory diseases (ICD-10: J40-J47),Under 1,Female,0
Chronic lower respiratory diseases (ICD-10: J40-J47),Under 1,Total,0
Chronic lower respiratory diseases (ICD-10: J40-J47),1-4,Male,0
Chronic lower respiratory diseases (ICD-10: J40-J47),1-4,Female,0
Chronic lower respiratory diseases (ICD-10: J40-J47),1-4,Total,0
Chronic lower respiratory diseases (ICD-10: J40-J47),5-14,Male,0
Chronic lower respiratory diseases (ICD-10: J40-J47),5-14,Female,0
Chronic lower respiratory diseases (ICD-10: J40-J47),5-14,Total,0
Chronic lower respiratory diseases (ICD-10: J40-J47),15-44,Male,8
Chronic lower respiratory diseases (ICD-10: J40-J47),15-44,Female,4
Chronic lower respiratory diseases (ICD-10: J40-J47),15-44,Total,12
Chronic lower respiratory diseases (ICD-10: J40-J47),45-64,Male,48
Chronic lower respiratory diseases (ICD-10: J40-J47),45-64,Female,16
Chronic lower respiratory diseases (ICD-10: J40-J47),45-64,Total,64
Chronic lower respiratory diseases (ICD-10: J40-J47),65 & above,Male,757
Chronic lower respiratory diseases (ICD-10: J40-J47),65 & above,Female,226
Chronic lower respiratory diseases (ICD-10: J40-J47),65 & above,Total,983
Chronic lower respiratory diseases (ICD-10: J40-J47),Unknown,Male,0
Chronic lower respiratory diseases (ICD-10: J40-J47),Unknown,Female,0
Chronic lower respiratory diseases (ICD-10: J40-J47),Unknown,Total,0
Diabetes mellitus (ICD-10: E10-E14),All ages,Male,306
Diabetes mellitus (ICD-10: E10-E14),All ages,Female,242
Diabetes mellitus (ICD-10: E10-E14),All ages,Total,548
Diabetes mellitus (ICD-10: E10-E14),Under 1,Male,0
Diabetes mellitus (ICD-10: E10-E14),Under 1,Female,0
Diabetes mellitus (ICD-10: E10-E14),Under 1,Total,0
Diabetes mellitus (ICD-10: E10-E14),1-4,Male,0
Diabetes mellitus (ICD-10: E10-E14),1-4,Female,0
Diabetes mellitus (ICD-10: E10-E14),1-4,Total,0
Diabetes mellitus (ICD-10: E10-E14),5-14,Male,0
Diabetes mellitus (ICD-10: E10-E14),5-14,Female,0
Diabetes mellitus (ICD-10: E10-E14),5-14,Total,0
Diabetes mellitus (ICD-10: E10-E14),15-44,Male,8
Diabetes mellitus (ICD-10: E10-E14),15-44,Female,2
Diabetes mellitus (ICD-10: E10-E14),15-44,Total,10
Diabetes mellitus (ICD-10: E10-E14),45-64,Male,75
Diabetes mellitus (ICD-10: E10-E14),45-64,Female,17
Diabetes mellitus (ICD-10: E10-E14),45-64,Total,92
Diabetes mellitus (ICD-10: E10-E14),65 & above,Male,223
Diabetes mellitus (ICD-10: E10-E14),65 & above,Female,223
Diabetes mellitus (ICD-10: E10-E14),65 & above,Total,446
Diabetes mellitus (ICD-10: E10-E14),Unknown,Male,0
Diabetes mellitus (ICD-10: E10-E14),Unknown,Female,0
Diabetes mellitus (ICD-10: E10-E14),Unknown,Total,0
Other causes,All ages,Male,4463
Other causes,All ages,Female,4316
Other causes,All ages,Total,8779
Other causes,Under 1,Male,34
Other causes,Under 1,Female,24
Other causes,Under 1,Total,58
Other causes,1-4,Male,8
Other causes,1-4,Female,6
Other causes,1-4,Total,14
Other causes,5-14,Male,8
Other causes,5-14,Female,8
Other causes,5-14,Total,16
Other causes,15-44,Male,129
Other causes,15-44,Female,79
Other causes,15-44,Total,208
Other causes,45-64,Male,714
Other causes,45-64,Female,332
Other causes,45-64,Total,1046
Other causes,65 & above,Male,3560
Other causes,65 & above,Female,3867
Other causes,65 & above,Total,7427
Other causes,Unknown,Male,10
Other causes,Unknown,Female,0
Other causes,Unknown,Total,10
All causes,All ages,Male,28365
All causes,All ages,Female,23171
All causes,All ages,Total,51536
All causes,Under 1,Male,35
All causes,Under 1,Female,30
All causes,Under 1,Total,65
All causes,1-4,Male,17
All causes,1-4,Female,14
All causes,1-4,Total,31
All causes,5-14,Male,31
All causes,5-14,Female,22
All causes,5-14,Total,53
All causes,15-44,Male,741
All causes,15-44,Female,491
All causes,15-44,Total,1232
All causes,45-64,Male,4819
All causes,45-64,Female,2912
All causes,45-64,Total,7731
All causes,65 & above,Male,22706
All causes,65 & above,Female,19700
All causes,65 & above,Total,42406
All causes,Unknown,Male,16
All causes,Unknown,Female,2
All causes,Unknown,Total,18
